paragrafnummer,group_count,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
1392,10,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,5,3,OA,-1,Bloggmix 2017,1
1392,10,någon,DT.UTR.SIN.IND,|någon|,|någon..pn.1|,|någon..1:-1.000|,|,|,,6,5,PA,-1,Bloggmix 2017,1
1392,10,som,HA,|som|,|som..ab.1|,|som..3:-1.000|,|,|,,7,3,KA,-1,Bloggmix 2017,1
1392,10,helst,AB.SUV,|gärna|,|gärna..ab.1|,|gärna..1:-1.000|,|,|,,8,6,HD,-1,Bloggmix 2017,1
1392,10,realitet,NN.UTR.SIN.IND.NOM,|realitet|,|realitet..nn.1|,|realitet..1:-1.000|,|,|,,9,8,HD,-1,Bloggmix 2017,1
1392,10,.,MAD,|,|,|,|,|,,10,3,IP,-1,Bloggmix 2017,1
807,8,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2016,0
807,8,innebär,VB.PRS.AKT,|innebära|,|innebära..vb.1|,|innebära..1:-1.000|,|inne..ab.1+bära..vb.1:5.073e-10|inne..av.1+bära..vb.1:2.259e-20|,|inne+bär|,0.0,2,0,ROOT,-1,Bloggmix 2016,0
807,8,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,3,2,OO,-1,Bloggmix 2016,0
807,8,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,4,5,SS,-1,Bloggmix 2016,0
807,8,måste,VB.PRS.AKT,|måste|,|måste..vb.1|,|måste..1:-1.000|,|,|,0.0,5,3,UA,-1,Bloggmix 2016,0
807,8,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,6,5,OA,-1,Bloggmix 2016,0
807,8,åtgärder,NN.UTR.PLU.IND.NOM,|åtgärd|,|åtgärd..nn.1|,|åtgärd..1:-1.000|,|åt..nn.1+gärd..nn.1:2.334e-20|,|åt+gärder|,0.0,7,6,PA,-1,Bloggmix 2016,0
807,8,.,MAD,|,|,|,|,|,,8,2,IP,-1,Bloggmix 2016,0
1716,21,Tror,VB.PRS.AKT,|tro|,|tro..vb.1|,|tro..1:0.969|tro..3:0.031|,|,|,0.0,1,0,ROOT,-1,Svenskt frasnät (SweFN),0
1716,21,du,PN.UTR.SIN.DEF.SUB,|du|,|du..pn.1|,|du..1:-1.000|,|,|,,2,1,SS,-1,Svenskt frasnät (SweFN),0
1716,21,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,3,1,OO,-1,Svenskt frasnät (SweFN),0
1716,21,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,4,5,DT,-1,Svenskt frasnät (SweFN),0
1716,21,faster,NN.UTR.SIN.IND.NOM,|faster|,|faster..nn.1|,|faster..1:-1.000|,|,|,,5,6,SS,-1,Svenskt frasnät (SweFN),0
1716,21,känner,VB.PRS.AKT,|känna|känna sig|,|känna..vb.1|känna..vb.2|känna_sig..vbm.1|,|känna..2:0.645|känna..1:0.294|känna..4:0.053|känna..3:0.008|känna_sig..1:-1.000|,|,|,0.0,6,3,UA,-1,Svenskt frasnät (SweFN),0
1716,21,sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig|känna sig:06|,|sig..pn.1|känna_sig..vbm.1:06|,|sig..1:-1.000|känna_sig..1:06:-1.000|,|,|,,7,6,OO,-1,Svenskt frasnät (SweFN),0
1716,21,skyldig,JJ.POS.UTR.SIN.IND.NOM,|skyldig|,|skyldig..av.1|,|skyldig..1:0.787|skyldig..2:0.128|skyldig..4:0.059|skyldig..3:0.026|,|,|,-1.0,8,6,OP,-1,Svenskt frasnät (SweFN),0
1716,21,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,9,6,AA,-1,Svenskt frasnät (SweFN),0
1716,21,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,10,9,HD,-1,Svenskt frasnät (SweFN),0
1716,21,hon,PN.UTR.SIN.DEF.SUB,|hon|,|hon..pn.1|,|hon..1:-1.000|,|,|,,11,13,SS,-1,Svenskt frasnät (SweFN),0
1716,21,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,12,13,,-1,Svenskt frasnät (SweFN),0
1716,21,gjorde,VB.PRT.AKT,|göra|,|göra..vb.1|,|göra..1:0.899|göra..2:0.086|göra..3:0.015|,|,|,-0.0,13,9,UA,-1,Svenskt frasnät (SweFN),0
1716,21,något,PN.NEU.SIN.IND.SUB+OBJ,|någon|,|någon..pn.1|,|någon..1:-1.000|,|,|,,14,13,OO,-1,Svenskt frasnät (SweFN),0
1716,21,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,15,13,OA,-1,Svenskt frasnät (SweFN),0
1716,21,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,16,15,PA,-1,Svenskt frasnät (SweFN),0
1716,21,rädda,VB.INF.AKT,|rädda|,|rädda..vb.1|,|rädda..1:-1.000|,|,|,1.0,17,16,IF,-1,Svenskt frasnät (SweFN),0
1716,21,sin,PS.UTR.SIN.DEF,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,18,19,DT,-1,Svenskt frasnät (SweFN),0
1716,21,bror,NN.UTR.SIN.IND.NOM,|bror|,|bror..nn.1|,|bror..1:-1.000|,|,|,0.0,19,17,OO,-1,Svenskt frasnät (SweFN),0
1716,21,?,MAD,|,|,|,|,|,,20,1,I?,-1,Svenskt frasnät (SweFN),0
1716,21,.,MAD,|,|,|,|,|,,21,1,IP,-1,Svenskt frasnät (SweFN),0
1016,14,Resan,NN.UTR.SIN.DEF.NOM,|resa|,|resa..nn.1|,|resa..2:0.968|resa..4:0.032|,|,|,-0.0,1,2,SS,-1,egna meningar,0
1016,14,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.737|bli..2:0.263|,|,|,-0.0,2,10,MS,-1,egna meningar,0
1016,14,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,3,2,,-1,egna meningar,0
1016,14,alls,AB,|alls|,|alls..ab.1|,|alls..1:-1.000|,|,|,,4,5,AA,-1,egna meningar,0
1016,14,bra,AB.POS,|bra|,|bra..ab.1|bra..ab.2|bra..av.1|,|bra..1:0.639|bra..3:0.154|bra..5:0.112|bra..2:0.095|,|,|,,5,2,AA,-1,egna meningar,0
1016,14,;,MID,|,|,|,|,|,,6,2,IS,-1,egna meningar,0
1016,14,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,7,10,SS,-1,egna meningar,0
1016,14,bara,AB,|bara|,|bara..ab.1|,|bara..1:-1.000|,|,|,,8,9,CA,-1,egna meningar,0
1016,14,regnade,VB.PRT.AKT,|regna|,|regna..vb.1|,|regna..1:0.991|regna..2:0.009|,|,|,,9,10,MS,-1,egna meningar,0
1016,14,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,10,0,ROOT,-1,egna meningar,0
1016,14,haglade,VB.PRT.AKT,|hagla|,|hagla..vb.1|,|hagla..1:-1.000|,|hage..nn.1+lägga..vb.1:1.597e-13|,|hag+lade|,,11,10,+F,-1,egna meningar,0
1016,14,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela tiden|,|hel..av.1|hela_tiden..abm.1|,|hel..1:0.900|hel..2:0.100|hela_tiden..1:-1.000|,|,|,0.0,12,13,DT,-1,egna meningar,0
1016,14,tiden,NN.UTR.SIN.DEF.NOM,|tid|hela tiden:12|,|tid..nn.1|hela_tiden..abm.1:12|,|tid..1:-1.000|hela_tiden..1:12:-1.000|,|,|,0.0,13,11,OO,-1,egna meningar,0
1016,14,.,MAD,|,|,|,|,|,,14,10,IP,-1,egna meningar,0
724,29,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,1
724,29,vet,VB.PRS.AKT,|veta|,|veta..vb.1|,|veta..1:-1.000|,|,|,0.0,2,15,MS,-1,Bloggmix 2017,1
724,29,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,3,2,OO,-1,Bloggmix 2017,1
724,29,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,4,5,SS,-1,Bloggmix 2017,1
724,29,lovat,VB.SUP.AKT,|lova|,|lova..vb.1|lova..vb.2|,|lova..1:0.971|lova..3:0.017|lova..2:0.012|,|,|,1.0,5,3,UA,-1,Bloggmix 2017,1
724,29,flera,JJ.POS.UTR+NEU.PLU.IND.NOM,|,|,|,|,|,,6,5,SP,-1,Bloggmix 2017,1
724,29,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,7,5,TA,-1,Bloggmix 2017,1
724,29,fyllan,NN.UTR.SIN.DEF.NOM,|fylla|,|fylla..nn.1|,|fylla..2:-1.000|,|fylla..vb.1+lan..nn.1:1.089e-13|fylla..nn.1+lan..nn.1:8.039e-20|,|fyll+lan|,-1.0,8,7,HD,-1,Bloggmix 2017,1
724,29,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,9,5,OO,-1,Bloggmix 2017,1
724,29,de,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,10,11,SS,-1,Bloggmix 2017,1
724,29,kommer,VB.PRS.AKT,|komma|,|komma..vb.1|,|komma..1:0.627|komma..3:0.373|,|,|,0.0,11,9,UA,-1,Bloggmix 2017,1
724,29,bli,VB.INF.AKT,|bli|,|bli..vb.1|,|bli..1:0.775|bli..2:0.225|,|,|,0.0,12,11,VG,-1,Bloggmix 2017,1
724,29,bjudna,PC.PRF.UTR+NEU.PLU.IND+DEF.NOM,|bjuda|,|bjuda..vb.1|,|bjuda..2:0.793|bjuda..1:0.186|bjuda..3:0.022|,|,|,0.0,13,12,SP,-1,Bloggmix 2017,1
724,29,",",MID,|,|,|,|,|,,14,2,IK,-1,Bloggmix 2017,1
724,29,men,KN,|men|,|men..kn.1|,|men..1:-1.000|,|,|,,15,0,ROOT,-1,Bloggmix 2017,1
724,29,hoppas,VB.PRS.SFO,|hoppa|hoppas|,|hoppa..vb.1|hoppas..vb.1|,|hoppas..1:0.626|hoppa..1:0.337|hoppa..2:0.036|,|,|,1.0,16,15,+F,-1,Bloggmix 2017,1
724,29,alla,PN.UTR+NEU.PLU.IND.SUB+OBJ,|all|,|all..pn.1|,|all..1:-1.000|,|,|,,17,16,SS,-1,Bloggmix 2017,1
724,29,förstår,VB.PRS.AKT,|förstå|,|förstå..vb.1|,|förstå..1:-1.000|,|föra..vb.1+stå..vb.1:1.396e-12|för..nn.1+stå..vb.1:1.735e-15|,|för+står|,0.0,18,16,VG,-1,Bloggmix 2017,1
724,29,när,HA,|när|,|när..ab.1|,|när..1:0.904|nära..1:0.096|,|,|,,19,22,TA,-1,Bloggmix 2017,1
724,29,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,20,22,SS,-1,Bloggmix 2017,1
724,29,väl,AB,|väl|,|väl..ab.1|väl_2..ab.1|,|väl..1:1.000|väl..2:0.000|,|,|,,21,22,AA,-1,Bloggmix 2017,1
724,29,kommer,VB.PRS.AKT,|komma|komma till kritan|,|komma..vb.1|komma_till_kritan..vbm.1|,|komma..3:0.545|komma..1:0.455|komma_till_kritan..1:-1.000|,|,|,1.0,22,18,TA,-1,Bloggmix 2017,1
724,29,till,PP,|till|komma till kritan:22|,|till..pp.1|komma_till_kritan..vbm.1:22|,|till..1:-1.000|komma_till_kritan..1:22:-1.000|,|,|,,23,22,PL,-1,Bloggmix 2017,1
724,29,kritan,NN.UTR.SIN.DEF.NOM,|krita|komma till kritan:22|,|krita..nn.1|komma_till_kritan..vbm.1:22|,|krita..1:0.992|krita..4:0.007|krita..3:0.001|komma_till_kritan..1:22:-1.000|,|,|,,24,23,HD,-1,Bloggmix 2017,1
724,29,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,25,22,OO,-1,Bloggmix 2017,1
724,29,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,26,28,SS,-1,Bloggmix 2017,1
724,29,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,27,28,,-1,Bloggmix 2017,1
724,29,funkar,VB.PRS.AKT,|funka|,|funka..vb.1|,|funka..1:-1.000|,|,|,-1.0,28,25,UA,-1,Bloggmix 2017,1
724,29,.,MAD,|,|,|,|,|,,29,15,IP,-1,Bloggmix 2017,1
754,10,De,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,1,2,SS,-1,Bloggmix 2017,1
754,10,ser,VB.PRS.AKT,|se|,|se..vb.1|,|ses..1:0.731|se..4:0.085|se..1:0.070|se..5:0.050|se..2:0.033|se..3:0.027|se..6:0.004|,|,|,0.0,2,0,ROOT,-1,Bloggmix 2017,1
754,10,vänner,NN.UTR.PLU.IND.NOM,|vän|,|vän..nn.1|,|vän..1:-1.000|,|,|,1.0,3,2,OO,-1,Bloggmix 2017,1
754,10,de,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,4,7,SS,-1,Bloggmix 2017,1
754,10,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,5,7,,-1,Bloggmix 2017,1
754,10,bara,AB,|bara|,|bara..ab.1|,|bara..1:-1.000|,|,|,,6,7,CA,-1,Bloggmix 2017,1
754,10,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.705|ha..3:0.295|,|,|,-0.0,7,2,MS,-1,Bloggmix 2017,1
754,10,träffat,VB.SUP.AKT,|träffa|,|träffa..vb.1|,|träffa..2:0.756|träffa..1:0.175|träffa..3:0.069|,|,|,-0.0,8,7,VG,-1,Bloggmix 2017,1
754,10,än,AB,|än|,|än..ab.1|,|än..1:-1.000|,|,|,,9,8,TA,-1,Bloggmix 2017,1
754,10,.,MAD,|,|,|,|,|,,10,2,IP,-1,Bloggmix 2017,1
1414,21,I,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,1,3,RA,-1,Bloggmix 2017,1
1414,21,USA,PM.NOM,|USA|,|USA..pma.1|,|USA..1:-1.000|,|,|,,2,1,PA,-1,Bloggmix 2017,1
1414,21,måste,VB.PRS.AKT,|måste|,|måste..vb.1|,|måste..1:-1.000|,|,|,0.0,3,16,MS,-1,Bloggmix 2017,1
1414,21,man,PN.UTR.SIN.IND.SUB,|man|,|man..pn.1|,|man..1:-1.000|,|,|,,4,3,SS,-1,Bloggmix 2017,1
1414,21,ha,VB.INF.AKT,|ha|,|ha..vb.1|,|ha..1:0.987|ha..3:0.013|,|,|,0.0,5,3,VG,-1,Bloggmix 2017,1
1414,21,tillgång,NN.UTR.SIN.IND.NOM,|tillgång|,|tillgång..nn.1|,|tillgång..1:-1.000|,|till..ab.1+gång..nn.1:1.005e-08|till..ab.1+gång..nn.3:1.005e-08|till..ab.1+gång..nn.2:1.005e-08|,|till+gång|,1.0,6,5,OO,-1,Bloggmix 2017,1
1414,21,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,7,5,PL,-1,Bloggmix 2017,1
1414,21,miljarder,NN.UTR.PLU.IND.NOM,|miljard|,|miljard..nn.1|,|miljard..1:-1.000|,|,|,0.0,8,7,HD,-1,Bloggmix 2017,1
1414,21,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,9,5,OA,-1,Bloggmix 2017,1
1414,21,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,10,11,SS,-1,Bloggmix 2017,1
1414,21,kunna,VB.INF.AKT,|kunna|,|kunna..vb.1|,|kunna..1:0.542|kunna..4:0.303|kunna..3:0.123|kunna..2:0.032|,|,|,0.0,11,5,VG,-1,Bloggmix 2017,1
1414,21,delta,VB.INF.AKT,|delta|,|delta..vb.1|,|delta..1:-1.000|,|del..nn.1+ta..vb.1:6.247e-09|dela..vb.1+ta..vb.1:4.690e-20|,|del+ta|,0.0,12,11,VG,-1,Bloggmix 2017,1
1414,21,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,13,12,OA,-1,Bloggmix 2017,1
1414,21,presidentval,NN.UTR.SIN.IND.NOM,|presidentval|,|presidentval..nn.1|,|presidentval..1:-1.000|,|president..nn.1+val..nn.2:9.963e-10|president..nn.1+val..nn.1:9.963e-10|,|president+val|,,14,13,PA,-1,Bloggmix 2017,1
1414,21,",",MID,|,|,|,|,|,,15,16,IK,-1,Bloggmix 2017,1
1414,21,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,16,0,ROOT,-1,Bloggmix 2017,1
1414,21,röstprocedurer,NN.UTR.PLU.IND.NOM,|röstprocedur|,|,|,|röst..nn.2+procedur..nn.1:8.766e-12|röste..nn.1+procedur..nn.1:8.766e-12|röst..nn.1+procedur..nn.1:8.766e-12|rösta..vb.1+procedur..nn.1:7.453e-22|,|röst+procedurer|,,17,18,SS,-1,Bloggmix 2017,1
1414,21,utesluter,VB.PRS.AKT,|utesluta|,|utesluta..vb.1|,|utesluta..1:0.856|utesluta..3:0.079|utesluta..2:0.065|,|ute..ab.1+sluta..vb.3:4.552e-11|ute..av.1+sluta..vb.3:1.556e-21|,|ute+sluter|,0.0,18,16,MS,-1,Bloggmix 2017,1
1414,21,miljontals,AB,|,|,|,|,|,,19,18,AA,-1,Bloggmix 2017,1
1414,21,medborgare,NN.UTR.PLU.IND.NOM,|medborgare|,|medborgare..nn.1|,|medborgare..1:-1.000|,|mede..nn.1+borgare..nn.1:6.731e-20|,|med+borgare|,0.0,20,18,OO,-1,Bloggmix 2017,1
1414,21,.,MAD,|,|,|,|,|,,21,16,IP,-1,Bloggmix 2017,1
1975,9,Den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,1,3,DT,-1,Svenskt frasnät (SweFN),0
1975,9,stora,JJ.POS.UTR+NEU.SIN.DEF.NOM,|stor|,|stor..av.1|,|stor..1:-1.000|,|,|,0.0,2,3,AT,-1,Svenskt frasnät (SweFN),0
1975,9,lavinen,NN.UTR.SIN.DEF.NOM,|lavin|,|lavin..nn.1|,|lavin..1:-1.000|,|,|,,3,4,SS,-1,Svenskt frasnät (SweFN),0
1975,9,begravde,VB.PRT.AKT,|begrava|,|begrava..vb.1|,|begrava..1:-1.000|,|,|,,4,0,ROOT,-1,Svenskt frasnät (SweFN),0
1975,9,alla,PN.UTR+NEU.PLU.IND.SUB+OBJ,|all|,|all..pn.1|,|all..1:-1.000|,|,|,,5,4,OO,-1,Svenskt frasnät (SweFN),0
1975,9,som,HP.-.-.-,|,|,|,|,|,,6,7,SS,-1,Svenskt frasnät (SweFN),0
1975,9,var,VB.PRT.AKT,|vara|vara med|,|vara..vb.1|vara_med..vbm.1|,|vara..1:-1.000|vara_med..1:-1.000|vara_med..2:-1.000|vara_med..3:-1.000|,|,|,0.0,7,5,ET,-1,Svenskt frasnät (SweFN),0
1975,9,med,PL,|med|vara med:7|,|med..ab.1|vara_med..vbm.1:7|,|med..4:-1.000|vara_med..1:7:-1.000|vara_med..2:7:-1.000|vara_med..3:7:-1.000|,|,|,,8,7,PL,-1,Svenskt frasnät (SweFN),0
1975,9,.,MAD,|,|,|,|,|,,9,4,IP,-1,Svenskt frasnät (SweFN),0
1886,10,Alla,PN.UTR+NEU.PLU.IND.SUB+OBJ,|all|,|all..pn.1|,|all..1:-1.000|,|,|,,1,2,SS,-1,Svenskt frasnät (SweFN),1
1886,10,bygger,VB.PRS.AKT,|bygga|bygga luftslott|,|bygga..vb.1|bygga_luftslott..vbm.1|,|bygga..1:-1.000|bygga_luftslott..1:-1.000|,|bygga..vb.1+ge..vb.1:6.069e-13|,|bygg+ger|,0.0,2,0,ROOT,-1,Svenskt frasnät (SweFN),1
1886,10,romantiska,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|romantisk|,|romantisk..av.1|romantisk..av.2|,|romantisk..1:0.937|romantisk..2:0.036|romantisk..3:0.026|,|,|,1.0,3,4,AT,-1,Svenskt frasnät (SweFN),1
1886,10,luftslott,NN.NEU.PLU.IND.NOM,|luftslott|bygga luftslott:02|,|luftslott..nn.1|bygga_luftslott..vbm.1:02|,|luftslott..1:-1.000|bygga_luftslott..1:02:-1.000|,|luft..nn.2+slott..nn.1:4.792e-11|luft..nn.1+slott..nn.1:4.792e-11|luft..nn.1+slott..nn.2:4.792e-11|luft..nn.2+slott..nn.2:4.792e-11|,|luft+slott|,,4,2,OO,-1,Svenskt frasnät (SweFN),1
1886,10,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,5,4,ET,-1,Svenskt frasnät (SweFN),1
1886,10,sina,PS.UTR+NEU.PLU.DEF,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,6,7,DT,-1,Svenskt frasnät (SweFN),1
1886,10,förväntningar,NN.UTR.PLU.IND.NOM,|förväntning|,|förväntning..nn.1|,|förväntning..1:-1.000|,|,|,1.0,7,5,PA,-1,Svenskt frasnät (SweFN),1
1886,10,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,8,7,ET,-1,Svenskt frasnät (SweFN),1
1886,10,livet,NN.NEU.SIN.DEF.NOM,|liv|,|liv..nn.1|,|liv..1:0.708|liv..5:0.126|liv..2:0.099|liv..6:0.058|liv..4:0.005|liv..3:0.004|,|,|,0.0,9,8,PA,-1,Svenskt frasnät (SweFN),1
1886,10,.,MAD,|,|,|,|,|,,10,2,IP,-1,Svenskt frasnät (SweFN),1
1995,16,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,-1,Svenskt frasnät (SweFN),0
1995,16,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,-1,Svenskt frasnät (SweFN),0
1995,16,ett,DT.NEU.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,3,5,DT,-1,Svenskt frasnät (SweFN),0
1995,16,självklart,JJ.POS.NEU.SIN.IND.NOM,|självklar|,|självklar..av.1|,|självklar..1:-1.000|,|,|själv+klart|,1.0,4,5,AT,-1,Svenskt frasnät (SweFN),0
1995,16,brott,NN.NEU.SIN.IND.NOM,|brott|,|brott..nn.1|brott..nn.2|,|brott..1:0.898|brott..3:0.083|brott..2:0.019|,|,|,-1.0,5,2,SP,-1,Svenskt frasnät (SweFN),0
1995,16,mot,PP,|mot|,|mot..pp.1|,|mot..1:-1.000|mot..2:-1.000|,|,|,,6,2,OA,-1,Svenskt frasnät (SweFN),0
1995,16,våra,PS.UTR+NEU.PLU.DEF,|vi|,|vi..pn.1|,|vi..1:-1.000|,|,|,,7,8,DT,-1,Svenskt frasnät (SweFN),0
1995,16,regler,NN.UTR.PLU.IND.NOM,|regel|,|regel..nn.1|,|regel..1:-1.000|,|,|,0.0,8,6,PA,-1,Svenskt frasnät (SweFN),0
1995,16,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,9,8,ET,-1,Svenskt frasnät (SweFN),0
