paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
12,mobiltelefon,NN.UTR.SIN.IND.NOM,|mobiltelefon|,|mobiltelefon..nn.1|,|mobiltelefon..1:-1.000|,|mobil..av.1+telefon..nn.1:4.105e-11|mo..nn.1+biltelefon..nn.1:2.210e-14|mobil..nn.1+telefon..nn.1:1.422e-18|mo..nn.1+bila..nn.1+telefon..nn.1:2.407e-16|mo..nn.1+bil..nn.1+telefon..nn.1:2.407e-16|mobil..av.1+tele..sxc.1+fon..nn.1:3.116e-20|mo..nn.1+bila..vb.1+telefon..nn.1:6.958e-28|mobil..nn.1+tele..sxc.1+fon..nn.1:4.126e-28|,|mobil+telefon|mo+biltelefon|mo+bil+telefon|mobil+tele+fon|,,2,3,SS,0,egna meningar,0
12,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0.0,3,0,ROOT,0,egna meningar,0
12,laddas,VB.INF.SFO,|ladda|,|ladda..vb.1|,|ladda..1:0.987|ladda..2:0.013|ladda..3:0.000|,|,|,,4,3,VG,0,egna meningar,0
12,snart,AB.POS,|snar|snart|,|snar..av.1|snart..ab.1|,|snart..1:0.601|snar..1:0.344|snar..2:0.055|,|,|,,5,4,TA,0,egna meningar,0
12,.,MAD,|,|,|,|,|,,6,3,IP,0,egna meningar,0
13,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar,0
13,tänkte,VB.PRT.AKT,|tänka|,|tänka..vb.1|,|tänka..1:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar,0
13,baka,VB.INF.AKT,|baka|,|baka..vb.1|,|baka..1:-1.000|,|,|,,3,2,VG,0,egna meningar,0
13,bröd,NN.NEU.SIN.IND.NOM,|bröd|,|bröd..nn.1|,|bröd..1:-1.000|,|,|,0.0,4,3,OO,0,egna meningar,0
13,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,5,3,OA,0,egna meningar,0
13,helgen,NN.UTR.SIN.DEF.NOM,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:3.432e-11|hela..nn.1+gen..nn.1:2.184e-13|hela..vb.1+gen..nn.1:7.208e-21|,|hel+gen|,0.0,6,5,PA,0,egna meningar,0
13,.,MAD,|,|,|,|,|,,7,2,IP,0,egna meningar,0
14,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,FS,0,egna meningar,0
14,finns,VB.PRS.SFO,|finna|finnas|,|finna..vb.1|finnas..vb.1|,|finnas..1:0.452|finna..1:0.427|finna..2:0.121|,|,|,0.0,2,0,ROOT,0,egna meningar,0
14,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,3,5,DT,0,egna meningar,0
14,ny,JJ.POS.UTR.SIN.IND.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,4,5,AT,0,egna meningar,0
14,utställning,NN.UTR.SIN.IND.NOM,|utställning|,|utställning..nn.1|,|utställning..1:-1.000|,|ut..ab.1+ställning..nn.1:4.103e-09|,|ut+ställning|,0.0,5,2,ES,0,egna meningar,0
14,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,5,ET,0,egna meningar,0
14,museet,NN.NEU.SIN.DEF.NOM,|museum|,|museum..nn.1|,|museum..1:-1.000|,|,|,0.0,7,6,HD,0,egna meningar,0
14,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,8,9,SS,0,egna meningar,0
14,vill,VB.PRS.AKT,|vilja|,|vilja..vb.1|,|vilja..1:-1.000|,|,|,0.0,9,5,ET,0,egna meningar,0
14,besöka,VB.INF.AKT,|besöka|,|besöka..vb.1|,|besöka..1:-1.000|,|,|,0.0,10,9,VG,0,egna meningar,0
14,.,MAD,|,|,|,|,|,,11,2,IP,0,egna meningar,0
15,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar,0
15,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.848|ha..3:0.152|,|,|,0.0,2,0,ROOT,0,egna meningar,0
15,planerat,VB.SUP.AKT,|planera|,|planera..vb.1|,|planera..1:-1.000|,|,|,0.0,3,2,VG,0,egna meningar,0
15,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,OO,0,egna meningar,0
15,städa,VB.INF.AKT,|städa|,|städa..vb.1|,|städa..1:-1.000|,|,|,,5,4,IF,0,egna meningar,0
15,mitt,PS.NEU.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,6,7,DT,0,egna meningar,0
15,rum,NN.NEU.SIN.IND.NOM,|rum|,|rum..nn.1|,|rum..1:0.845|rum..3:0.144|rum..4:0.011|,|,|,0.0,7,5,IO,0,egna meningar,0
15,denna,DT.UTR.SIN.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,8,9,DT,0,egna meningar,0
15,eftermiddag,NN.UTR.SIN.IND.NOM,|eftermiddag|,|eftermiddag..nn.1|,|eftermiddag..1:-1.000|,|efter..av.1+middag..nn.1:1.949e-19|,|efter+middag|,0.0,9,5,OO,0,egna meningar,0
